"US","PHVHN",936.90
"UT","BTVHN",24.30
"UT","ELVHN",33.70
"UT","ELVHS",1.21
"UT","LDVHN",2788.70
"UT","PHVHN",9.40
"VA","BTVHN",49.00
"VA","ELVHN",69.10
"VA","ELVHS",0.97
"VA","LDVHN",7109.90
"VA","PHVHN",20.10
"VT","BTVHN",4.60
"VT","ELVHN",8.50
"VT","ELVHS",1.54
"VT","LDVHN",553.60
"VT","PHVHN",3.90
"WA","BTVHN",90.20
"WA","ELVHN",119.30
"WA","ELVHS",1.89
"WA","LDVHN",6328.70
"WA","PHVHN",29.10
"WI","BTVHN",13.60
"WI","ELVHN",22.90
"WI","ELVHS",0.45
"WI","LDVHN",5094.80
"WI","PHVHN",9.30
"WV","BTVHN",1.60
"WV","ELVHN",2.90
"WV","ELVHS",0.21
"WV","LDVHN",1385.20
"WV","PHVHN",1.30
"WY","BTVHN",0.70
"WY","ELVHN",1.30
"WY","ELVHS",0.22
"WY","LDVHN",599.50
"WY","PHVHN",0.60
